Geneid,SRR15679346,SRR15679347,SRR15679348,SRR15679349
ENSMUSG00000042414,4,4,2,0
ENSMUSG00000113925,0,0,0,0
ENSMUSG00000114011,0,0,0,0
ENSMUSG00000113097,0,0,0,0
ENSMUSG00000101784,0,6,0,0
ENSMUSG00000038496,6,8,24,14
ENSMUSG00000100432,0,0,0,0
ENSMUSG00000100190,0,0,0,0
ENSMUSG00000113267,0,0,0,0
ENSMUSG00000104423,0,0,0,0
ENSMUSG00000101315,0,0,0,0
ENSMUSG00000099691,0,0,0,0
ENSMUSG00000026166,0,0,0,2
ENSMUSG00000101173,0,0,0,0
ENSMUSG00000053161,0,0,0,0
ENSMUSG00000101896,0,0,0,0
ENSMUSG00002075005,0,0,0,0
ENSMUSG00000026466,2113,1618,1477,1835
ENSMUSG00000102964,68,29,68,55
ENSMUSG00000010609,610,441,438,390
ENSMUSG00000055676,22,22,10,8
ENSMUSG00000026163,3654,1491,8847,4970
ENSMUSG00000079140,0,0,10,6
ENSMUSG00000104374,2,0,8,2
ENSMUSG00000104219,0,0,0,0
ENSMUSG00000100580,0,0,0,0
ENSMUSG00000038855,259,147,270,189
ENSMUSG00002076780,0,0,0,0
ENSMUSG00000104388,2,0,0,2
ENSMUSG00000077736,0,0,0,0
ENSMUSG00000103123,0,0,0,0
ENSMUSG00000103772,0,2,0,2
ENSMUSG00000053963,49,44,69,54
ENSMUSG00000104210,0,0,2,0
ENSMUSG00000102608,0,0,0,0
ENSMUSG00000045658,585,723,348,267
ENSMUSG00000050565,1966,1905,1908,1795
ENSMUSG00000102750,4,2,0,0
ENSMUSG00000101934,0,0,0,0
ENSMUSG00000098851,0,0,2,0
ENSMUSG00000015484,133,55,263,179
ENSMUSG00000048402,50,30,30,20
ENSMUSG00000098273,0,0,0,0
ENSMUSG00000097408,0,0,0,0
ENSMUSG00000096939,0,0,0,0
ENSMUSG00000100767,0,0,0,0
ENSMUSG00000099860,0,0,0,0
ENSMUSG00000101179,0,0,0,0
ENSMUSG00000037035,638,399,263,170
ENSMUSG00000036766,790,452,1238,874
ENSMUSG00000104396,0,0,2,2
ENSMUSG00000102481,0,0,0,0
ENSMUSG00000005886,17766,13012,12207,12792
ENSMUSG00000093254,0,1,0,0
ENSMUSG00000004451,151,119,259,134
ENSMUSG00000101437,0,0,0,0
ENSMUSG00000103506,26,16,8,27
ENSMUSG00000098447,25,9,28,19
ENSMUSG00000103495,12,14,10,12
ENSMUSG00002076346,0,0,0,0
ENSMUSG00000102639,2,0,3,2
ENSMUSG00000098923,192,228,104,154
ENSMUSG00000104170,26,12,3,12
ENSMUSG00000087782,0,3,0,3
ENSMUSG00000101731,111,74,77,72
ENSMUSG00000103085,104,46,26,101
ENSMUSG00000084505,0,0,0,0
ENSMUSG00000102664,34,22,18,63
ENSMUSG00000101476,4,0,4,2
ENSMUSG00000101171,0,0,0,0
ENSMUSG00000026496,5390,4297,2817,2735
ENSMUSG00000025935,1449,1496,1453,1327
ENSMUSG00000025937,545,543,380,407
ENSMUSG00000102982,24,14,6,12
ENSMUSG00000067813,1,1,0,4
ENSMUSG00000077368,0,0,0,0
ENSMUSG00000097711,4,0,0,2
ENSMUSG00000102166,0,0,0,0
ENSMUSG00002075174,0,0,0,0
ENSMUSG00000104209,0,0,0,0
ENSMUSG00000101523,791,708,437,553
ENSMUSG00000026596,3509,2365,3039,3177
ENSMUSG00000104293,14,10,8,11
